Row Labels,Sum of UPSTREAM/DOWNSTREAM TALLIES
11/3/2023,-1
11/4/2023,-2
11/5/2023,-1
11/8/2023,-2
11/13/2023,-1
11/14/2023,-4
11/15/2023,-4
11/16/2023,-4
11/17/2023,-6
11/18/2023,-21
11/19/2023,-61
11/20/2023,-4
11/22/2023,-1
11/23/2023,-5
11/24/2023,-7
11/25/2023,-3
11/26/2023,-6
11/27/2023,-4
11/28/2023,-2
11/29/2023,-2
11/30/2023,-4
12/1/2023,-5
12/2/2023,-6
12/3/2023,-7
12/4/2023,-11
12/5/2023,-3
12/6/2023,-12
12/7/2023,-16
12/8/2023,-4
12/9/2023,-16
12/10/2023,-24
12/11/2023,-18
12/12/2023,-12
12/13/2023,-13
12/14/2023,-13
12/15/2023,-8
12/16/2023,-4
12/17/2023,-5
12/18/2023,-6
12/19/2023,-8
12/20/2023,-1
12/28/2023,-27
12/29/2023,-19
12/30/2023,-9
12/31/2023,-23
1/2/2024,-20
1/4/2024,-13
1/5/2024,-19
1/6/2024,-7
1/7/2024,-21
1/8/2024,-12
1/10/2024,-11
1/11/2024,-15
1/12/2024,-16
1/15/2024,-3
1/16/2024,-10
1/17/2024,-12
1/18/2024,-10
