Date,net_movement
11/3/2023,-1
11/4/2023,2
11/5/2023,3
11/7/2023,2
11/8/2023,-2
11/13/2023,3
11/14/2023,4
11/15/2023,4
11/16/2023,68
11/17/2023,42
11/18/2023,450
11/19/2023,-36
11/20/2023,-3
11/21/2023,5
11/22/2023,2
11/23/2023,-3
11/24/2023,-1
11/25/2023,-1
11/26/2023,0
11/27/2023,-3
11/28/2023,1
11/29/2023,2
11/30/2023,6
12/1/2023,-1
12/2/2023,-4
12/3/2023,1
12/4/2023,-2
12/5/2023,0
12/6/2023,14
12/7/2023,18
12/8/2023,2
12/9/2023,7
12/10/2023,-7
12/11/2023,8
12/12/2023,3
12/13/2023,-2
12/14/2023,2
12/15/2023,1
12/16/2023,7
12/17/2023,3
12/18/2023,99
12/19/2023,315
12/20/2023,6
12/27/2023,5
12/28/2023,12
12/29/2023,6
12/30/2023,-3
12/31/2023,-9
1/2/2024,-5
1/3/2024,1
1/4/2024,2
1/5/2024,-8
1/6/2024,7
1/7/2024,-13
1/8/2024,-7
1/9/2024,1
1/10/2024,-3
1/11/2024,9
1/12/2024,-6
1/13/2024,1
1/14/2024,1
1/15/2024,0
1/16/2024,-1
1/17/2024,-6
1/18/2024,-3
1/19/2024,4
